time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-06-30T12:37:31.513Z,35.8605,140.8596,10,4.2,mb,5.23576,158,2.249,0.45,us
2021-06-30T03:53:20.666Z,37.2356,141.3935,44.12,4,mwr,4,114,2.645,0.49,us
2021-06-29T16:36:11.151Z,38.6817,141.985,79.74,4.1,mb,5.19674,182,2.221,0.48,us
2021-06-29T05:55:51.020Z,31.7709,131.7087,49.86,5,mb,5.63,113,1.102,1.16,us
2021-06-29T01:42:11.287Z,35.6419,140.3552,44.66,4.3,mb,5.27706,140,1.956,0.45,us
2021-06-28T06:13:53.450Z,43.0045,145.2487,75.65,4.2,mb,5.23576,176,1.835,0.37,us
2021-06-27T00:06:55.511Z,40.1891,142.7201,38.39,4.1,mb,5.19674,189,1.397,0.57,us
2021-06-25T11:41:15.490Z,30.8075,141.9444,10,4.3,mb,5.27706,144,2.928,0.73,us
2021-06-24T22:41:45.862Z,38.5605,144.5973,10,4.3,mb,5.27706,260,3.519,0.56,us
2021-06-24T06:19:04.259Z,29.7339,142.3519,10,4.2,mb,5.23576,136,2.632,0.68,us
2021-06-23T18:44:20.377Z,43.5341,146.147,113.92,4.3,mb,5.27706,158,2.637,0.56,us
2021-06-23T12:35:14.893Z,37.8229,144.4386,10,4.6,mb,5.41464,137,3.952,0.72,us
2021-06-20T11:08:24.615Z,43.5582,142.6172,151.93,5.3,mww,5.3,59,0.56,0.6,us
2021-06-18T22:39:13.136Z,33.5055,132.5646,41.87,4.9,mb,5.57274,41,1.117,0.81,us
2021-06-18T11:34:17.740Z,34.5034,140.6554,10,4.2,mb,5.23576,165,1.551,0.6,us
2021-06-17T08:59:34.009Z,34.8992,141.7647,10,4.5,mb,5.3665,104,2.406,0.65,us
2021-06-15T18:03:13.302Z,30.2668,138.7912,418.11,4.2,mb,5.23576,69,2.966,0.81,us
2021-06-15T06:18:34.913Z,33.6404,138.6055,10,4.5,mb,5.3665,67,1.092,0.66,us
2021-06-14T13:24:40.718Z,29.6636,131.0354,23.83,4.4,mb,5.32064,129,1.907,0.9,us
2021-06-14T00:08:28.272Z,43.1781,145.6821,70.59,4.2,mb,5.23576,196,2.431,0.36,us
2021-06-13T19:06:42.005Z,36.8339,140.591,10,4.2,mb,5.23576,153,1.936,1.06,us
2021-06-13T11:58:23.775Z,40.9637,141.9169,66.01,4,mb,5.16,138,0.669,0.23,us
2021-06-13T02:18:36.667Z,36.3754,143.1172,10,4.3,mb,5.27706,140,3.96,1.17,us
